Title	URL	Assignees	Status	Task Type	Nature	Epic	Time Estimation	Sprint	Time Taken
Implement contact list	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/139	TdVBd	In Development	Backend	Sprint Task	2	5	Sprint 7	
Implement contact list UI	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/107	TdVBd	In Development	Frontend	Sprint Task	2	3	Sprint 7	
Topic items	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/140	Svannia	In Development	Frontend	Sprint Task	2	3	Sprint 7	
Implement End-to-End tests	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/97	Ovoland	In Development	Tests	Sprint Task	1	6	Sprint 7	
Leave group	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/141	oliver216	In Development	Backend	Sprint Task	2	7	Sprint 7	
Add group settings nav in group screen	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/142	oliver216	In Development	Frontend	Sprint Task	2	3	Sprint 7	
Strengths	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/143	Svannia	In Development	Backend	Sprint Task	2	7	Sprint 7	
Solo Calendar	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/144	hanelmouta	In Development	Backend	Sprint Task	2	8	Sprint 7	
Set up backend for topics feature	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/118	Svannia	Done in Sprint 6	Backend	Sprint Task	1	1	Sprint 6	1.5
Implement the Map	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/68	Ovoland	Done in Sprint 6	Backend	Sprint Task	1	6	Sprint 6	20
Add a way to edit tasks in the ToDoList	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/106	TdVBd	In Review	Backend	Sprint Task	2	1.5	Sprint 6	
Video Call UI and navigation	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/104	Freezemoon	Done in Sprint 6	Frontend	Sprint Task	2	5	Sprint 6	8
Topic home page	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/119	Svannia	Done in Sprint 6	Frontend	Sprint Task	1	6	Sprint 6	10
Implement APK generation	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/111	cemuelle	Done in Sprint 6	Backend	Sprint Task	1	2	Sprint 6	6
Force the Dark mode for the app	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/100	oliver216	Done in Sprint 6	Frontend	Sprint Task	2	1	Sprint 6	1
Reformatting hard-coded strings and version numbers	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/74	Freezemoon	Done in Sprint 6	Backend	Sprint Task	1	1	Sprint 6	1
Create Group Invitation	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/54	oliver216	Done in Sprint 5	Backend	Sprint Task	1	8	Sprint 5	18
Edit and delete messages in chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/85	cemuelle	Done in Sprint 5	Backend	Sprint Task	2	3	Sprint 5	5
Improve Chat UI	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/79	cemuelle	Done in Sprint 5	Frontend	Sprint Task	1	4	Sprint 5	3
